dimension,label,n_cases,both_0,a_0_b_1,a_1_b_0,both_1,coderA_positive_rate,coderB_positive_rate,observed_agreement,expected_agreement,kappa,interpretation
User (who),Individual,268,144,3,2,119,0.4515,0.4552,0.9813,0.5043,0.9624,almost perfect
User (who),Group,268,202,0,4,62,0.2463,0.2313,0.9851,0.6363,0.9590,almost perfect
User (who),Public,268,141,1,0,126,0.4701,0.4739,0.9963,0.5016,0.9925,almost perfect
Topic (what),"Entertainment, Sports
&Culture",268,242,0,4,22,0.0970,0.0821,0.9851,0.8368,0.9085,almost perfect
Topic (what),"Environment 
(Surroudings/Nature), 
Geography&Ecology",268,206,0,0,62,0.2313,0.2313,1.0000,0.6444,1.0000,almost perfect
Topic (what),"Health, Life 
& Emotion",268,183,0,5,80,0.3172,0.2985,0.9813,0.5737,0.9562,almost perfect
Topic (what),Science,268,251,0,0,17,0.0634,0.0634,1.0000,0.8812,1.0000,almost perfect
Topic (what),"Society&History
(include media)",268,216,0,1,51,0.1940,0.1903,0.9963,0.6895,0.9880,almost perfect
Topic (what),"Industry, Architecture&Engineering",268,245,0,0,23,0.0858,0.0858,1.0000,0.8431,1.0000,almost perfect
Topic (what),Unspecified&Mixed Topics,268,246,0,0,22,0.0821,0.0821,1.0000,0.8493,1.0000,almost perfect
Presentation (how),XR,268,200,0,1,67,0.2537,0.2500,0.9963,0.6231,0.9901,almost perfect
Presentation (how),Event,268,235,0,4,29,0.1231,0.1082,0.9851,0.7953,0.9271,almost perfect
Presentation (how),Artifact,268,173,0,3,92,0.3545,0.3433,0.9888,0.5456,0.9754,almost perfect
Presentation (how),Installation,268,152,1,2,113,0.4291,0.4254,0.9888,0.5106,0.9771,almost perfect
Presentation (how),comprehension,268,208,0,9,51,0.2239,0.1903,0.9664,0.6710,0.8979,almost perfect
Goal (why),communication,268,80,1,12,175,0.6978,0.6567,0.9515,0.5620,0.8893,almost perfect
Goal (why),archive,268,193,6,12,57,0.2575,0.2351,0.9328,0.6285,0.8192,almost perfect
Goal (why),engagement,268,144,3,16,105,0.4515,0.4030,0.9291,0.5094,0.8555,almost perfect
Goal (why),reflection,268,105,4,5,154,0.5933,0.5896,0.9664,0.5167,0.9305,almost perfect
Goal (why),analysis,268,194,5,4,65,0.2575,0.2612,0.9664,0.6158,0.9126,almost perfect
"data origin (when) historical, live, predictive, synthesized",Environmental data,268,220,0,3,45,0.1791,0.1679,0.9888,0.7131,0.9610,almost perfect
"data origin (when) historical, live, predictive, synthesized",Participant-generated,268,192,0,4,72,0.2836,0.2687,0.9851,0.6001,0.9627,almost perfect
"data origin (when) historical, live, predictive, synthesized",Collected&Uploaded,268,112,1,4,151,0.5784,0.5672,0.9813,0.5105,0.9619,almost perfect
"data origin (when) historical, live, predictive, synthesized",Unspecified,268,263,1,1,3,0.0149,0.0149,0.9925,0.9706,0.7462,substantial
representation form (how),visual,268,17,1,0,250,0.9328,0.9366,0.9963,0.8779,0.9694,almost perfect
representation form (how),haptic,268,182,1,28,57,0.3172,0.2164,0.8918,0.6037,0.7270,substantial
representation form (how),sound,268,234,3,4,27,0.1157,0.1119,0.9739,0.7983,0.8705,almost perfect
representation form (how),"other (taste, smell，action)",268,256,0,8,4,0.0448,0.0149,0.9701,0.9416,0.4885,moderate
Scale,small,268,200,2,16,50,0.2463,0.1940,0.9328,0.6553,0.8052,substantial
Scale,medium,268,155,21,20,72,0.3433,0.3470,0.8470,0.5480,0.6616,substantial
Scale,large,268,137,21,9,101,0.4104,0.4552,0.8881,0.5080,0.7725,substantial
Semantics,Symbolic,268,89,17,20,142,0.6045,0.5933,0.8619,0.5195,0.7127,substantial
Semantics,Iconic,268,99,5,71,93,0.6119,0.3657,0.7164,0.4699,0.4650,moderate
Semantics,Indexical,268,69,50,16,133,0.5560,0.6828,0.7537,0.5205,0.4864,moderate
